,Region,Province Name,Type,Population (2020),Population (2015),Annual Population Growth Rate (2015‑2020),"Area (2013), in km2","Density (2020), per km2",City count,Mun count,Brgy count
0,I,Ilocos Norte,province,"609,588","593,081",0.58%,"3,418.75",178,2,21,559
1,I,Ilocos Sur,province,"706,009","689,668",0.49%,"2,596.00",272,2,32,768
2,I,La Union,province,"822,352","786,653",0.94%,"1,499.28",548,1,19,576
3,I,Pangasinan,province,"3,163,190","2,956,726",1.43%,"5,450.59",580,4,44,"1,364"
0,II,Batanes,province,"18,831","17,246",1.87%,203.22,93,0,6,29
1,II,Cagayan,province,"1,268,603","1,199,320",1.19%,"9,398.07",135,1,28,820
2,II,Isabela,province,"1,697,050","1,593,566",1.33%,"13,102.05",130,3,34,"1,055"
3,II,Nueva Vizcaya,province,"497,432","452,287",2.02%,"4,813.88",103,0,15,275
4,II,Quirino,province,"203,828","188,991",1.60%,"2,319.66",88,0,6,132
0,III,Angeles,city (HUC),"462,928","411,634",2.50%,63.37,"7,305",–,–,33
1,III,Aurora,province,"235,750","214,336",2.03%,"3,133.40",75,0,8,151
2,III,Bataan,province,"853,373","760,650",2.45%,"1,372.98",622,1,11,237
3,III,Bulacan,province,"3,708,890","3,292,071",2.54%,"2,783.69","1,332",3,21,569
4,III,Nueva Ecija,province,"2,310,134","2,151,461",1.51%,"5,689.69",406,5,27,849
5,III,Olongapo,city (HUC),"260,317","233,040",2.36%,185.00,"1,407",–,–,17
6,III,Pampanga,province,"2,437,709","2,198,110",2.20%,"2,001.22","1,218",2,19,505
7,III,Tarlac,province,"1,503,456","1,366,027",2.04%,"3,046.49",494,1,17,511
8,III,Zambales,province,"649,615","590,848",2.02%,"3,630.35",179,0,13,230
0,IV‑A,Batangas,province,"2,908,494","2,694,335",1.62%,"3,115.05",934,4,30,"1,078"
1,IV‑A,Cavite,province,"4,344,829","3,678,301",3.57%,"1,526.28","2,847",7,16,829
2,IV‑A,Lucena,"city (HUC), capital","278,924","266,248",0.98%,80.21,"3,477",–,–,33
3,IV‑A,Laguna,province,"3,382,193","3,035,081",2.31%,"1,928.23","1,754",6,24,681
4,IV‑A,Quezon,province,"1,950,459","1,856,582",1.04%,"8,743.84",223,1,39,"1,209"
5,IV‑A,Rizal,province,"3,330,143","2,884,227",3.07%,"1,182.65","2,816",1,13,189
0,MIMAROPA,Marinduque,province,"239,207","234,521",0.42%,952.58,251,0,6,218
1,MIMAROPA,Occidental Mindoro,province,"525,354","487,414",1.59%,"5,851.09",90,0,11,164
2,MIMAROPA,Oriental Mindoro,province,"908,339","844,059",1.56%,"4,238.38",214,1,14,426
3,MIMAROPA,Palawan,province,"939,594","849,469",2.15%,"14,649.73",64,0,23,367
4,MIMAROPA,Puerto Princesa,"city (HUC), capital","307,079","255,116",3.98%,"2,381.02",129,–,–,66
5,MIMAROPA,Romblon,province,"308,985","292,781",1.14%,"1,533.45",201,0,17,219
0,NCR,Caloocan,city (HUC),"1,661,584","1,583,978",1.01%,55.80,"29,777",-,-,188
1,NCR,Las Piñas,city (HUC),"606,293","588,894",0.61%,32.69,"18,547",-,-,20
2,NCR,Makati,city (HUC),"629,616","582,602",1.65%,21.57,"29,189",-,-,33
3,NCR,Malabon,city (HUC),"380,522","365,525",0.85%,15.71,"24,222",-,-,21
4,NCR,Mandaluyong,city (HUC),"425,758","386,276",2.07%,9.29,"45,830",-,-,27
5,NCR,Manila,"city (HUC), capital, regional center","1,846,513","1,780,148",0.77%,24.98,"73,920",-,-,897
6,NCR,Marikina,city (HUC),"456,059","450,741",0.25%,21.52,"21,192",-,-,16
7,NCR,Muntinlupa,city (HUC),"543,445","504,509",1.58%,39.75,"13,672",-,-,9
8,NCR,Navotas,city (HUC),"247,543","249,463",-0.16%,8.94,"27,689",-,-,18
9,NCR,Parañaque,city (HUC),"689,992","665,822",0.75%,46.57,"14,816",-,-,16
10,NCR,Pasay,city (HUC),"440,656","416,522",1.19%,13.97,"31,543",-,-,201
11,NCR,Pasig,city (HUC),"803,159","755,300",1.30%,48.46,"16,574",-,-,30
12,NCR,Pateros,mun,"65,227","63,840",0.45%,10.40,"6,272",-,-,10
13,NCR,Quezon City,city (HUC),"2,960,048","2,936,116",0.17%,171.71,"17,239",-,-,142
14,NCR,San Juan,city (HUC),"126,347","122,180",0.71%,5.95,"21,235",-,-,21
15,NCR,Taguig,city (HUC),"886,722","804,915",2.06%,45.21,"19,613",-,-,28
16,NCR,Valenzuela,city (HUC),"714,978","620,422",3.03%,47.02,"15,206",-,-,33
0,CAR,Abra,province,"250,985","241,160",0.84%,"4,199.72",60,0,27,303
1,CAR,Apayao,province,"124,366","119,184",0.90%,"4,502.33",28,0,7,133
2,CAR,Baguio,"city (HUC), regional center","366,358","345,366",1.25%,57.51,"6,370",–,–,129
3,CAR,Benguet,province,"460,683","444,224",0.77%,"2,769.08",166,0,13,140
4,CAR,Ifugao,province,"207,498","202,802",0.48%,"2,618.01",79,0,11,176
5,CAR,Kalinga,province,"229,570","212,680",1.62%,"3,282.04",70,1,7,153
6,CAR,Mountain Province,province,"158,200","154,590",0.49%,"2,389.43",66,0,10,144
0,VI,Aklan,province,"615,475","574,823",1.45%,"1,760.30",350,0,17,327
1,VI,Antique,province,"612,974","582,012",1.10%,"2,730.67",224,0,18,590
2,VI,Bacolod,"city (HUC), capital","600,783","561,875",1.42%,160.71,"3,738",–,–,61
3,VI,Capiz,province,"804,952","761,384",1.18%,"2,594.64",310,1,16,473
4,VI,Guimaras,province,"187,842","174,613",1.55%,611.87,307,0,5,98
5,VI,Iloilo,province,"2,051,899","1,936,423",1.23%,"4,997.64",411,1,42,"1,721"
